,country_year,Forest_Cover(sq KMs)
168,SV_2003,3182.00012207031
169,SM_2003,0.0
170,SO_2003,72846.0009765625
171,RS_2003,24760.0
172,SS_2003,71570.0
173,ST_2003,560.0
174,SR_2003,153790.0
175,SK_2003,19275.9997558594
176,SI_2003,12390.0
177,SE_2003,281960.0
178,SZ_2003,5317.99987792969
179,SC_2003,406.69998168945295
180,SY_2003,4493.99993896484
181,TC_2003,344.000015258789
182,TD_2003,62150.0
183,TG_2003,4260.0
184,TH_2003,164644.00390625
185,TJ_2003,4100.0
186,TM_2003,41270.0
187,TL_2003,8204.00024414063
188,TO_2003,90.0
189,TT_2003,2314.40002441406
190,TN_2003,8837.999877929691
191,TR_2003,104704.00390625
192,TV_2003,10.0
193,TZ_2003,507200.0
194,UG_2003,36050.0
195,UA_2003,95490.0
196,UY_2003,14609.599609375
197,US_2003,3042685.9375
198,UZ_2003,32618.000488281297
199,VC_2003,260.0
200,VE_2003,482881.9921875
201,VG_2003,36.6000008583069
202,VI_2003,194.300003051758
203,VN_2003,125370.0
204,VU_2003,4400.0
205,WS_2003,1710.0
206,YE_2003,5490.0
207,ZA_2003,92410.0
208,ZM_2003,506341.9921875
209,ZW_2003,179130.0
0,AW_2004,4.19999986886978
1,AF_2004,13500.0
2,AO_2004,592288.0078125
3,AL_2004,7797.80029296875
4,AD_2004,160.0
5,AE_2004,3116.00006103516
6,AR_2004,305208.0078125
7,AM_2004,3322.00012207031
8,AS_2004,179.099998474121
9,AG_2004,98.4000015258789
10,AU_2004,1278810.0
11,AT_2004,38483.9990234375
12,AZ_2004,8761.19995117188
13,BI_2004,1843.9999389648399
14,BE_2004,6728.20007324219
15,BJ_2004,48610.0
16,BF_2004,60087.998046875
17,BD_2004,14575.999755859399
18,BG_2004,35958.0004882813
19,BH_2004,4.300000071525569
20,BS_2004,5150.0
21,BA_2004,21850.0
22,BY_2004,84034.00390625
23,BZ_2004,14250.799560546899
24,BM_2004,10.0
25,BO_2004,590053.984375
26,BR_2004,5096420.0
27,BB_2004,63.000001907348604
28,BN_2004,3906.00006103516
29,BT_2004,26457.199707031297
30,BW_2004,120614.00390625
31,CF_2004,223415.99609375
32,CA_2004,3476211.875
33,CH_2004,12124.000244140601
34,CL_2004,160004.00390625
35,CN_2004,1898352.1875
36,CI_2004,103895.99609375
37,CM_2004,212360.0
38,CD_2004,1560034.0625
39,CG_2004,224880.0
40,CO_2004,605207.8125
41,KM_2004,425.999984741211
42,CV_2004,832.900009155273
43,CR_2004,24680.0
44,CU_2004,26446.0009765625
45,KY_2004,126.999998092651
46,CY_2004,1726.00006103516
47,CZ_2004,26450.0
48,DE_2004,113780.0
49,DJ_2004,55.999999046325705
50,DM_2004,462.59998321533203
51,DK_2004,5632.60009765625
52,DO_2004,16188.0004882813
53,DZ_2004,15445.999755859399
54,EC_2004,134139.697265625
55,EG_2004,654.000015258789
56,ER_2004,15584.000244140601
57,ES_2004,172210.60546875
58,EE_2004,22501.999511718797
59,ET_2004,131410.0
60,FI_2004,222034.00390625
61,FJ_2004,9939.00024414063
62,FR_2004,157465.99609375
63,FO_2004,0.799999982118607
64,FM_2004,639.700012207031
65,GA_2004,220000.0
66,GB_2004,30076.0009765625
67,GE_2004,27701.201171875
68,GH_2004,90242.001953125
69,GI_2004,0.0
70,GN_2004,67600.0
71,GM_2004,4690.0
72,GW_2004,20816.0009765625
73,GQ_2004,16965.9997558594
74,GR_2004,37218.0004882813
75,GD_2004,169.899997711182
76,GL_2004,2.1999999880790697
77,GT_2004,39920.0
78,GU_2004,250.0
79,GY_2004,166060.0
80,HN_2004,59120.0
81,HR_2004,18994.0002441406
82,HT_2004,1058.0000305175802
83,HU_2004,19698.000488281297
84,ID_2004,981673.984375
85,IM_2004,34.6000003814697
86,IN_2004,672452.03125
87,IE_2004,6828.59985351563
88,IR_2004,104187.197265625
89,IQ_2004,8235.99975585938
90,IS_2004,349.599990844727
91,IL_2004,1546.00006103516
92,IT_2004,86810.0
93,JM_2004,3395.40008544922
94,JO_2004,975.0
95,JP_2004,249231.9921875
96,KZ_2004,33426.0009765625
97,KE_2004,39490.0
98,KG_2004,8670.99975585938
99,KH_2004,108940.0
100,KI_2004,121.499996185303
101,KN_2004,110.0
102,KR_2004,62616.0009765625
103,KW_2004,54.0999984741211
104,LA_2004,168009.70703125
105,LB_2004,1353.99993896484
106,LR_2004,45090.0
107,LY_2004,2170.0
108,LC_2004,209.599990844727
109,LI_2004,69.0000009536743
110,LK_2004,21328.000488281297
111,LS_2004,427.999992370605
112,LT_2004,21008.000488281297
113,LU_2004,866.999969482422
114,LV_2004,32858.0004882813
115,MF_2004,10.0
116,MA_2004,53193.9990234375
117,MD_2004,3552.00012207031
118,MG_2004,128750.0
119,MV_2004,10.0
120,MX_2004,672376.015625
121,MH_2004,126.400003433228
122,MK_2004,9715.99975585938
123,ML_2004,55840.0
124,MT_2004,3.49999994039536
125,MM_2004,336303.984375
126,ME_2004,6260.0
127,MN_2004,113897.998046875
128,MP_2004,313.099994659424
129,MZ_2004,403008.0078125
130,MR_2004,2770.0
131,MU_2004,389.39998626709
132,MW_2004,34350.0
133,MY_2004,210301.9921875
135,NC_2004,8390.0
136,NE_2004,12784.000244140601
137,NG_2004,114985.99609375
138,NI_2004,35340.0
139,NL_2004,3640.0
140,NO_2004,120962.001953125
141,NP_2004,36888.0004882813
142,NR_2004,0.0
143,NZ_2004,101742.001953125
144,OM_2004,20.0
145,PK_2004,19448.000488281297
146,PA_2004,47990.0
147,PE_2004,756517.96875
148,PH_2004,70646.0009765625
149,PW_2004,401.59999847412104
150,PG_2004,335888.0078125
151,PL_2004,91717.998046875
152,PR_2004,4603.09997558594
153,KP_2004,64257.998046875
154,PT_2004,33053.9990234375
155,PY_2004,186535.99609375
156,PS_2004,91.49999618530269
157,PF_2004,1250.0
158,QA_2004,0.0
159,RO_2004,63860.0
160,RU_2004,8088856.875
161,RW_2004,3767.99987792969
162,SA_2004,9770.0
163,SD_2004,199075.99609375
164,SN_2004,87180.0
165,SG_2004,163.500003814697
166,SB_2004,22463.9990234375
167,SL_2004,28436.0009765625
168,SV_2004,3136.00006103516
169,SM_2004,0.0
170,SO_2004,72077.998046875
171,RS_2004,24760.0
172,SS_2004,71570.0
173,ST_2004,560.0
174,SR_2004,153750.0
175,SK_2004,19298.000488281297
176,SI_2004,12410.0
177,SE_2004,282070.0
178,SZ_2004,5364.00024414063
179,SC_2004,406.69998168945295
180,SY_2004,4552.00012207031
181,TC_2004,344.000015258789
182,TD_2004,61780.0
183,TG_2004,4060.0
184,TH_2004,162822.001953125
185,TJ_2004,4100.0
186,TM_2004,41270.0
187,TL_2004,8092.000122070309
188,TO_2004,90.0
189,TT_2004,2307.20001220703
190,TN_2004,8994.00024414063
191,TR_2004,105662.001953125
192,TV_2004,10.0
193,TZ_2004,503200.0
194,UG_2004,35170.0
195,UA_2004,95620.0
196,UY_2004,14913.800048828101
197,US_2004,3045128.125
198,UZ_2004,32783.9990234375
199,VC_2004,260.0
200,VE_2004,480006.015625
201,VG_2004,36.6000008583069
202,VI_2004,190.799999237061
203,VN_2004,128070.0
204,VU_2004,4400.0
205,WS_2004,1710.0
206,YE_2004,5490.0
207,ZA_2004,92410.0
208,ZM_2004,504676.015625
209,ZW_2004,175860.0
0,AW_2005,4.19999986886978
1,AF_2005,13500.0
2,AO_2005,591040.0
3,AL_2005,7824.00024414063
4,AD_2005,160.0
5,AE_2005,3120.0
6,AR_2005,301860.0
7,AM_2005,3320.0
8,AS_2005,178.79999160766602
9,AG_2005,98.00000190734859
10,AU_2005,1276410.0
11,AT_2005,38510.0
12,AZ_2005,8772.000122070309
13,BI_2005,1810.0
14,BE_2005,6742.00012207031
15,BJ_2005,48110.0
16,BF_2005,59490.0
17,BD_2005,14550.0
18,BG_2005,36510.0
19,BH_2005,4.49999988079071
20,BS_2005,5150.0
21,BA_2005,21850.0
22,BY_2005,84360.0
23,BZ_2005,14165.3002929688
24,BM_2005,10.0
25,BO_2005,587340.0
26,BR_2005,5067340.0
27,BB_2005,63.000001907348604
28,BN_2005,3890.0
29,BT_2005,26556.4990234375
30,BW_2005,119430.0
31,CF_2005,223260.0
32,CA_2005,3475760.0
33,CH_2005,12170.0
34,CL_2005,160420.0
35,CN_2005,1930439.0625
36,CI_2005,104050.0
37,CM_2005,210160.0
38,CD_2005,1556920.0
39,CG_2005,224710.0
40,CO_2005,602013.59375
41,KM_2005,420.0
42,CV_2005,835.8999633789059
43,CR_2005,24910.0
44,CU_2005,26970.0
45,KY_2005,126.999998092651
46,CY_2005,1728.50006103516
47,CZ_2005,26470.0
48,DE_2005,113840.0
49,DJ_2005,55.999999046325705
50,DM_2005,459.90001678466797
51,DK_2005,5577.00012207031
52,DO_2005,16520.0
53,DZ_2005,15360.0
54,EC_2005,133352.40234375
55,EG_2005,670.0
56,ER_2005,15540.0
57,ES_2005,172820.8984375
58,EE_2005,22520.0
59,ET_2005,130000.0
60,FI_2005,221430.0
61,FJ_2005,9972.60009765625
62,FR_2005,158610.0
63,FO_2005,0.799999982118607
64,FM_2005,639.900016784668
65,GA_2005,220000.0
66,GB_2005,30210.0
67,GE_2005,27725.0
68,GH_2005,90530.0
69,GI_2005,0.0
70,GN_2005,67240.0
71,GM_2005,4710.0
72,GW_2005,20720.0
73,GQ_2005,16850.0
74,GR_2005,37520.0
75,GD_2005,169.899997711182
76,GL_2005,2.1999999880790697
77,GT_2005,39380.0
78,GU_2005,250.0
79,GY_2005,166020.0
80,HN_2005,57920.0
81,HR_2005,19030.0
82,HT_2005,1050.0
83,HU_2005,19830.0
84,ID_2005,978570.0
85,IM_2005,34.6000003814697
86,IN_2005,677090.0
87,IE_2005,6948.40026855469
88,IR_2005,106919.8046875
89,IQ_2005,8250.0
90,IS_2005,365.0
91,IL_2005,1550.0
92,IT_2005,87590.0
93,JM_2005,3392.00012207031
94,JO_2005,975.0
95,JP_2005,249350.0
96,KZ_2005,33370.0
97,KE_2005,40470.0
98,KG_2005,8692.999877929691
99,KH_2005,107310.0
100,KI_2005,121.499996185303
101,KN_2005,110.0
102,KR_2005,62550.0
103,KW_2005,55.500001907348604
104,LA_2005,168697.109375
105,LB_2005,1365.0
106,LR_2005,44790.0
107,LY_2005,2170.0
108,LC_2005,208.999996185303
109,LI_2005,69.0000009536743
110,LK_2005,21180.0
111,LS_2005,430.0
112,LT_2005,21210.0
113,LU_2005,866.999969482422
114,LV_2005,32970.0
115,MF_2005,10.0
116,MA_2005,54010.0
117,MD_2005,3630.0
118,MG_2005,128380.0
